Sample ID #,Sample Location,"Sample Collection Time &Date",Test Result (ppb),Test Results
1-SE-F01-68,Hallway between Room 106 and 107,6/7/16 7:33 AM,None Detected,ND
1-SE-F01-69,Hallway between Room 106 and 107,6/7/16 7:33 AM,None Detected,ND
1-SE-F01-70,Hallway between Room 106 and 107,6/7/16 7:33 AM,None Detected,ND
1-SE-F02-71,Hallway between Room 106 and 107,6/7/16 7:40 AM,None Detected,ND
1-SE-F02-72,Hallway between Room 106 and 107,6/7/16 7:40 AM,None Detected,
1-SE-F02-73,Hallway between Room 106 and 107,6/7/16 7:40 AM,None Detected,ND
1-SE-F02-74,Hallway between Room 106 and 107,6/7/16 7:40 AM,None Detected,ND
1-SE-F02-75,Hallway between Room 106 and 107,6/7/16 7:40 AM,None Detected,ND
2-SE-F02-76,2nd FL Hallway between Room 206 & 207,6/7/16 7:46 AM,None Detected,ND
2-SE-F02-77,2nd FL Hallway between Room 206 & 207,6/7/16 7:46 AM,None Detected,ND
2-SE-F02-78,2nd FL Hallway between Room 206 & 207,6/7/16 7:46 AM,None Detected,ND
2-SE-F02-79,2nd FL Hallway between Room 206 & 207,6/7/16 7:46 AM,None Detected,ND
2-SE-F02-80,2nd FL Hallway between Room 206 & 207,6/7/16 7:46 AM,None Detected,ND
2-NE-F01-81,2nd FL Hallway between Room 201 & 202,6/7/16 7:50 AM,None Detected,ND
2-NE-F01-82,2nd FL Hallway between Room 201 & 202,6/7/16 7:50 AM,None Detected,ND
2-NE-F01-83,2nd FL Hallway between Room 201 & 202,6/7/16 7:50 AM,None Detected,ND
2-NE-F01-84,2nd FL Hallway between Room 201 & 202,6/7/16 7:50 AM,None Detected,ND
2-NE-F01-85,2nd FL Hallway between Room 201 & 202,6/7/16 7:50 AM,None Detected,ND
2-NE-F02-86,2nd FL Hallway between Room 201 & 202,6/7/16 7:55 AM,None Detected,ND
2-NE-F02-87,2nd FL Hallway between Room 201 & 202,6/7/16 7:55 AM,None Detected,ND
2-NE-F02-88,2nd FL Hallway between Room 201 & 202,6/7/16 7:55 AM,None Detected,ND
2-NE-F02-89,2nd FL Hallway between Room 201 & 202,6/7/16 7:55 AM,None Detected,ND
2-NE-F02-90,2nd FL Hallway between Room 201 & 202,6/7/16 7:55 AM,None Detected,ND
2-NE-F03-91,2nd FL Hallway between Room 201 & 202,6/7/16 7:58 AM,None Detected,ND
2-NE-F03-92,2nd FL Hallway between Room 201 & 202,6/7/16 7:58 AM,None Detected,ND
2-NE-F03-93,2nd FL Hallway between Room 201 & 202,6/7/16 7:58 AM,None Detected,ND
2-NE-F03-94,2nd FL Hallway between Room 201 & 202,6/7/16 7:58 AM,None Detected,ND
2-NE-F03-95,2nd FL Hallway between Room 201 & 202,6/7/16 7:58 AM,None Detected,ND
2-NE-F04-96,2nd FL Hallway between Room 201 & 202,6/7/16 8:02 AM,None Detected,ND
2-NE-F04-97,2nd FL Hallway between Room 201 & 202,6/7/16 8:02 AM,None Detected,ND
2-NE-F04-98,2nd FL Hallway between Room 201 & 202,6/7/16 8:02 AM,None Detected,ND
2-NE-F04-99,2nd FL Hallway between Room 201 & 202,6/7/16 8:02 AM,None Detected,ND
2-NE-F04-100,2nd FL Hallway between Room 201 & 202,6/7/16 8:02 AM,None Detected,ND
2-NW-F01-101,Between Stairs and Boys Restroom,6/7/16 8:09 AM,None Detected,ND
2-NW-F01-102,Between Stairs and Boys Restroom,6/7/16 8:09 AM,None Detected,ND
2-NW-F01-103,Between Stairs and Boys Restroom,6/7/16 8:09 AM,None Detected,ND
2-NW-F01-104,Between Stairs and Boys Restroom,6/7/16 8:09 AM,None Detected,ND
2-NW-F01-105,Between Stairs and Boys Restroom,6/7/16 8:09 AM,None Detected,ND
3-NW-F01-106,3rd FL between Stairs and Boys Restroom,6/7/16 8:17 AM,None Detected,ND
3-NW-F01-107,3rd FL between Stairs and Boys Restroom,6/7/16 8:17 AM,None Detected,ND
3-NW-F01-108,3rd FL between Stairs and Boys Restroom,6/7/16 8:17 AM,None Detected,ND
3-NW-F01-109,3rd FL between Stairs and Boys Restroom,6/7/16 8:17 AM,None Detected,ND
3-NW-F01-110,3rd FL between Stairs and Boys Restroom,6/7/16 8:17 AM,None Detected,ND
3-NW-F02-111,3rd FL between Stairs and Boys Restroom,6/7/16 8:21 AM,None Detected,ND
3-NW-F02-112,3rd FL between Stairs and Boys Restroom,6/7/16 8:21 AM,None Detected,ND
3-NW-F02-113,3rd FL between Stairs and Boys Restroom,6/7/16 8:21 AM,None Detected,ND
3-NW-F02-114,3rd FL between Stairs and Boys Restroom,6/7/16 8:21 AM,None Detected,ND
3-NW-F02-115,3rd FL between Stairs and Boys Restroom,6/7/16 8:21 AM,None Detected,ND
3-NE-F01-116,Between Room 301 & 302,6/7/16 8:28 AM,None Detected,ND
3-NE-F01-117,Between Room 301 & 302,6/7/16 8:28 AM,None Detected,ND
3-NE-F01-118,Between Room 301 & 302,6/7/16 8:28 AM,None Detected,ND
3-NE-F01-119,Between Room 301 & 302,6/7/16 8:28 AM,None Detected,ND
3-NE-F01-120,Between Room 301 & 302,6/7/16 8:28 AM,None Detected,ND
3-NE-F02-121,Between Room 301 & 302,6/7/16 8:31 AM,None Detected,ND
3-NE-F02-122,Between Room 301 & 302,6/7/16 8:31 AM,None Detected,ND
3-NE-F02-123,Between Room 301 & 302,6/7/16 8:31 AM,None Detected,ND
3-NE-F02-124,Between Room 301 & 302,6/7/16 8:31 AM,None Detected,ND
3-NE-F02-125,Between Room 301 & 302,6/7/16 8:31 AM,None Detected,ND
3-NE-F05-126,Between Room 301 & 302,6/7/16 8:37 AM,None Detected,ND
3-NE-F05-127,Between Room 301 & 302,6/7/16 8:37 AM,None Detected,ND
3-NE-F05-128,Between Room 301 & 302,6/7/16 8:37 AM,None Detected,ND
3-NE-F05-129,Between Room 301 & 302,6/7/16 8:37 AM,None Detected,ND
3-NE-F05-130,Between Room 301 & 302,6/7/16 8:37 AM,None Detected,ND
3-NE-F06-131,Between Room 301 & 302,6/7/16 8:40 AM,None Detected,ND
