schoolname,school,filename,score,num_fixtures,lat,long
Burbank,Burbank,Individualschool_Burbank_609818.pdf,0.045714285714285714,35,41.917598,-87.7827
Burke,Burke,Individualschool_Burke_609819.pdf,0.01764705882352941,34,41.79676,-87.616141
Burley,Burley,Individualschool_Burley_609820.pdf,0.0,5,41.937937,-87.669853
Burnham,Burnham,Individualschool_Burnham_609821.pdf,0.0,18,41.714402,-87.567131
Burnside,Burnside,IndividualSchool_Burnside_609827.pdf,0.02,20,41.728481,-87.607435
Burr,Burr,Individualschool_Burr_609828.pdf,0.0,4,41.912358000000005,-87.668661
Burroughs,Burroughs,Individualschool_Burroughs_609829.pdf,0.0,9,41.828868,-87.69245699999999
Byrne,Byrne,IndividualSchool_Byrne_609832.pdf,0.0,17,41.795031,-87.79154399999999
Caldwell,Caldwell,Individualschool_Caldwell_609833.pdf,0.05714285714285715,14,41.739226,-87.580729
Calmeca,Calmeca,IndividualSchool_Calmeca_610353.pdf,0.0,31,41.824377,-87.71165400000001
Camelot - Excel Englewood Hs,Camelotexcelenglewood,IndividualSchool_CamelotExcelEnglewood_610565.pdf,0.0,13,41.763896,-87.649124
Camelot Excel Southshore,Camelotexcelsouthshore,IndividualSchool_CamelotExcelSouthshore_400175.pdf,0.0,4,41.760332,-87.556789
Cameron,Cameron,Individualschool_Cameron_609835.pdf,0.03636363636363637,22,41.903791999999996,-87.717927
Camras,Camras,Individualschool_Camras_610539.pdf,0.0,6,41.934931,-87.770127
Canty,Canty,Individualschool_Canty_609836.pdf,0.0,5,41.948007000000004,-87.829296
Cardenas,Cardenas,Individualschool_cardenas_610024.pdf,0.0,15,41.848488,-87.71601700000001
Carnegie,Carnegie,IndividualSchool_Carnegie_609837.pdf,0.018750000000000003,16,41.783367999999996,-87.590795
Carroll,Carroll,Individualschool_Carroll_609839.pdf,0.0,18,41.742517,-87.696012
Carson,Carson,Individualschool_carson_609842.pdf,0.013333333333333336,45,41.793271999999995,-87.6878
Carter,Carter,Individualschool_Carter_609844.pdf,0.0,10,41.789828,-87.62245300000001
Carver G,Carver,Individualschool_Carver_609845.pdf,0.042105263157894736,19,41.653702,-87.59951600000001
Carver Military Hs,Carvermilitary,IndividualSchool_CarverMilitary_609760.pdf,0.0,39,41.656290000000006,-87.59062
Cassell,Cassell,individualschool_cassell_609849.pdf,0.0125,16,41.687346999999995,-87.703215
Castellanos,Castellanos,Individualschool_Castellanos_609826.pdf,0.011764705882352941,17,41.84545,-87.714927
Cather,Cather,Individualschool_Cather_610251.pdf,0.0,13,41.88295,-87.699187
Chalmers,Chalmers,IndividualSchool_Chalmers_609851.pdf,0.009523809523809525,21,41.866434999999996,-87.695259
Chappell,Chappell,Individualschool_Chappell_609852.pdf,0.008695652173913044,23,41.975894,-87.68326400000001
Chase,Chase,Individualschool_Chase_609853.pdf,0.035897435897435895,39,41.917993,-87.694562
Chavez,Chavez,IndividualSchool_Chavez_610148.pdf,0.0,18,41.807142999999996,-87.666037
Chicago Academy Es,Chicagoacademyes,IndividualSchool_ChicagoAcademyES_610248.pdf,0.0,31,41.943056,-87.778187
Chicago Agriculture Hs,Chicagoagriculture,IndividualSchool_ChicagoAgriculture_609753.pdf,0.0,36,41.691221,-87.71777
Chicago Arts Hs,Chicagoartshs,IndividualSchool_ChicagoArtsHS_400022.pdf,0.0,24,41.899377,-87.69494499999999
Chicago Military Hs,Chicagomilitaryhs,IndividualSchool_ChicagoMilitaryHS_609754.pdf,0.0,21,41.830555,-87.61921600000001
Chicago Tech Hs,Chicagotechhs,IndividualSchool_ChicagoTechHS_400091.pdf,0.0,7,41.863301,-87.659095
Chopin,Chopin,Individualschool_Chopin_609854.pdf,0.0,7,41.896713,-87.688937
Cics - Chicagoquest Hs,Cicschicagoquest,IndividualSchool_CICSChicagoQuest_400113.pdf,0.0,20,41.907796999999995,-87.645561
Claremont,Claremont,IndividualSchool_Claremont_610347.pdf,0.0064516129032258064,31,41.777511,-87.681061
Clark Es,Clark,IndividualSchool_Clark_609795.pdf,0.0,10,41.867813,-87.770418
Clark Hs,Clarkhs,IndividualSchool_ClarkHS_610244.pdf,0.043478260869565216,23,41.872885,-87.753325
Clay,Clay,IndividualSchool_Clay_609856.pdf,0.0,15,41.654558,-87.544614
Clemente Hs,Clemente,IndividualSchool_Clemente_609759.pdf,0.0774193548387097,62,41.902626,-87.68690600000001
Cleveland,Cleveland,Individualschool_cleveland_609857.pdf,0.0,17,41.952042,-87.70644300000001
Clinton,Clinton,Individualschool_Clinton_609859.pdf,0.0,24,41.992540999999996,-87.69836
