park_name,fixture_location,result_value,result_flag,processed_result,exceeds_epa
Clarendon,Fountain 4 Middle,<2.0,U,0.0,0
Clarendon,Fountain 4 Low,<2.0,U,0.0,0
Clark (John),Lobby,0.837,J,0.8370000000000001,0
Clark (John),Fountain 1,0.291,J,0.29100000000000004,0
Clark (Richard),Fountain 1 High,0.124,J,0.124,0
Clark (Richard),Fountain 1 Low,0.127,J,0.127,0
Clark (Richard),Fountain 2 High,0.994,J,0.9940000000000001,0
Clark (Richard),Fountain 2 Low,0.291,J,0.29100000000000004,0
Clark Boathouse,Main Lobby,<0.120,U,0.0,0
Clark Boathouse,By Washrooms,<0.120,U,0.0,0
Claremont,Fountain 1 High,1.11,J,1.11,0
Claremont,Fountain 1 Middle,1.1,J,1.1,0
Claremont,Fountain 1 Low,0.893,J,0.893,0
Clover,Fountain 1 High*,66,,66.0,1
Clover,Fountain 1 Low*,58,,58.0,1
Clybourn,Fountain 1 High*,30,,30.0,1
Clybourn,Fountain 1 Low*,31,,31.0,1
Cochran,Fountain 1 High*,41,,41.0,1
Cochran,Fountain 1 Low*,42,,42.0,1
Cole,Main Lobby,0.364,J,0.364,0
Cole,Fountain 1*,42.4,,42.4,1
Cole,Fountain 2 High,0.599,J,0.599,0
Cole,Fountain 2 Middle,0.388,J,0.38799999999999996,0
Cole,Fountain 2 Low,0.519,J,0.519,0
Cole,Fountain 3*,140,,140.0,1
Cole,Fountain 4*,15.5,,15.5,1
Coleman,Fountain 1*,27.9,,27.9,1
Coliseum,Fountain 1 High,<2.0,U,0.0,0
Coliseum,Fountain 1 Low,2.1,,2.1,0
Coliseum,Fountain 1 Dog,<2.0,U,0.0,0
Coliseum,Fountain 2,<2.0,U,0.0,0
Columbus,Front Lobby,0.688,J,0.688,0
Columbus,Fountain 1,6.5,,6.5,0
Columbus,Fountain 2,0.436,J,0.436,0
Columbus,Fountain 3,2.26,J,2.26,0
Columbus,Fountain 4,1.55,J,1.55,0
Columbus,Fountain 5,0.593,J,0.593,0
Columbus,Fountain 6,14,,14.0,0
Columbus,Fountain 7 High,0.491,J,0.491,0
Columbus,Fountain 7 Low,0.283,J,0.28300000000000003,0
Columbus,Fountain 8 High,6.96,,6.96,0
Columbus,Fountain 8 Low,7.09,,7.09,0
Columbus,Fountain 9,3.08,J,3.08,0
Columbus,Fountain 10 High,0.244,J,0.244,0
Columbus,Fountain 10 Low,1.35,J,1.35,0
Columbus,Fountain 11 Low,2.05,J,2.05,0
Columbus Athletic Building,By Large Gym,0.123,J,0.12300000000000001,0
Columbus Refectory,East Foyer,0.66,J,0.66,0
Commercial Club,Lobby,0.438,J,0.43799999999999994,0
Commercial Club,Kitchen Sink,<2.0,U,0.0,0
Commercial Club,Fountain 1 High,0.661,J,0.6609999999999999,0
Commercial Club,Fountain 1 Middle,0.614,J,0.614,0
Commercial Club,Fountain 1 Low,0.46,J,0.46,0
Cooper,Main Lobby,1.85,J,1.85,0
Cooper,Fountain 1,0.916,J,0.9159999999999999,0
Cooper,Fountain 2 High,0.205,J,0.205,0
Cooper,Fountain 2 Low,1.07,J,1.07,0
Cornell,Fountain 1 High*,97.5,,97.5,1
Cornell,Fountain 1 Low*,116,,116.0,1
Cornell Square,Near Women's Room,2.62,J,2.62,0
Cornell Square,Near Entrance,0.227,J,0.22699999999999998,0
Cornell Square,Kitchen Sink,<2.0,U,0.0,0
Cornell Square,Fountain 1,<0.120,U,0.0,0
Cornell Square,Fountain 2,6.36,,6.36,0
Cornell Square,Fountain 3 High,<0.120,U,0.0,0
Cornell Square,Fountain 3 Low,<0.120,U,0.0,0
Cornell Square,Fountain 4,3.98,J,3.98,0
Cosme,Fountain 1 High,0.334,J,0.33399999999999996,0
Cosme,Fountain 1 Dog,0.363,J,0.363,0
Cosme,Fountain 2,10.5,,10.5,0
Cotton Tail,Fountain 1,<2.0,U,0.0,0
Cotton Tail,Fountain 2,<2.0,U,0.0,0
Cotton Tail,Fountain 3 High,<2.0,U,0.0,0
Cotton Tail,Fountain 3 Low,<2.0,U,0.0,0
Cragin,Hallway,10.9,,10.9,0
Cragin,Fountain 1,1.35,J,1.35,0
Cragin,Fountain 2,1.72,J,1.72,0
Cresent,Fountain 1,4.21,J,4.21,0
Daley (Richard),Fountain 1 High,0.333,J,0.33299999999999996,0
Daley (Richard),Fountain 1 Low,1.11,J,1.11,0
Davis (M.),Fountain 1,0.142,J,0.142,0
Davis Square,1st Floor Near Elevator,<0.120,U,0.0,0
Davis Square,2nd Floor Near Special Rec,0.138,J,0.138,0
Davis Square,Kitchen Sink,<2.0,U,0.0,0
Davis Square,Kitchen Sink 2nd Floor,<2.0,U,0.0,0
Davis Square,Fountain 1 High,0.623,J,0.623,0
Davis Square,Fountain 1 Low,0.428,J,0.428,0
Davis Square,Fountain 2*,15.7,,15.7,1
Davis Square,Fountain 3 High,<0.120,U,0.0,0
Davis Square,Fountain 3 Low,<0.120,U,0.0,0
Dawes,Near Office*,26.5,,26.5,1
Dawes,Kitchen Sink,0.358,J,0.358,0
Dawes,Slop Sink,0.83,J,0.83,0
Dawes,Fountain 1 High,11.9,,11.9,0
Dawes,Fountain 1 Low,10.1,,10.1,0
Dawes,Fountain 2*,0.516,J,0.516,0
Dean,Fountain 1 High,0.911,J,0.9109999999999999,0
Dean,Fountain 1 Middle,1.05,J,1.05,0
Dean,Fountain 1 Low,0.943,J,0.943,0
Dearborn,Fountain 1 High*,52,,52.0,1
Dearborn,Fountain 1 Low*,18,,18.0,1
Dearborn,Fountain 2 High*,120,,120.0,1
Dearborn,Fountain 2 Low*,110,,110.0,1
Debow,Fountain 1*,29,,29.0,1
De Burgos,Fountain 1 High,0.3,,0.3,0
De Burgos,Fountain 1 Middle,0.311,,0.311,0
De Burgos,Fountain 1 Low,0.31,,0.31,0
DeJulio,Fountain 1 High*,24.1,,24.1,1
DeJulio,Fountain 1 Low*,30.7,,30.7,1
D'Elia,Fountain 1 High*,33,,33.0,1
D'Elia,Fountain 1 Low*,33,,33.0,1
Dickinson,Fountain 1 High,0.231,J,0.231,0
Dickinson,Fountain 1 Middle,0.211,J,0.21100000000000002,0
Dickinson,Fountain 1 Low,0.227,J,0.22699999999999998,0
Dixon,Fountain 1 High,12.1,,12.1,0
Dixon,Fountain 1 Low,12,,12.0,0
Dogwood,Fountain 1*,17.8,,17.8,1
Donahue,Fountain 1 High,2,,2.0,0
Donahue,Fountain 1 Middle,2.7,,2.7,0
Donahue,Fountain 1 Low,<2.0,U,0.0,0
Don Nash Community Center,1st Floor Between Room,0.16,J,0.16,0
Don Nash Community Center,2nd Floor by Fitness Center,<0.120,U,0.0,0
Don Nash Community Center,Pool Level Women's Washroom,0.462,J,0.462,0
Don Nash Community Center,Pool Level Men's Washroom,<0.120,U,0.0,0
Don Nash Community Center,Pool Deck,0.198,J,0.198,0
Donovan,Club Room,3.01,J,3.01,0
Donovan,Fountain 1*,16.4,,16.4,1
Dougherty,Fountain 1,5.2,,5.2,0
Douglas,Main Lobby,0.219,J,0.21899999999999997,0
Douglas,Fountain 1*,21.7,,21.7,1
Douglas,Fountain 2,2.21,J,2.21,0
Douglas,Fountain 4 High,0.572,J,0.5720000000000001,0
Douglas,Fountain 4 Low,0.128,J,0.128,0
Douglas,Fountain 5,2.49,J,2.49,0
Douglas,Fountain 6,1.04,J,1.04,0
Douglas,Fountain 7 High,7.1,,7.1,0
Douglas,Fountain 7 Low,6.67,,6.67,0
Douglas,Fountain 8,3.39,J,3.39,0
Douglas,Fountain 9*,16.6,,16.6,1
Douglas,Fountain 10 High,9.22,,9.22,0
