Abbott,"","",""
"",Fountain 3 Low ,<2.0 U
Cragin,"",""
"",Indoor,""
"",Hallway ,10.9
"",Outdoor,""
"",Fountain 1 ,1.35 J
"",Fountain 2 ,1.72 J
Cresent,"",""
"",Outdoor,""
"",Fountain 1 ,4.21 J
Daley (Richard),"",""
"",Oudoor ,""
"",Fountain 1 High ,0.333 J
"",Fountain 1 Low ,1.11 J
Davis (M.),""
Outdoor,""
Fountain 1 ,0.142 J
Davis Square,""
Indoor,""
1st Floor Near Elevator ,<0.120  U
2nd Floor Near Special Rec ,0.138  J
Kitchen Sink ,<2.0 U
Kitchen Sink 2nd Floor ,<2.0 U
Outdoor,""
Fountain 1 High ,0.623 J
Fountain 1 Low ,0.428 J
Fountain 2* ,15.7
Fountain 3 High ,˂0.120 U
Fountain 3 Low ,˂0.120 U
Dawes,""
Indoor,""
Near Office* ,26.5
Kitchen Sink ,0.358 J
Slop Sink ,0.83 J
Outdoor,""
Fountain 1 High ,11.9
Fountain 1 Low ,10.1
Fountain 2* ,0.516 J
Dean,""
Outdoor,""
Fountain 1 High ,0.911 J
Fountain 1 Middle ,1.05 J
Fountain 1 Low ,0.943 J
Dearborn,""
Outdoor ,""
Fountain 1 High* ,52
Fountain 1 Low* ,18
Fountain 2 High* ,120
Fountain 2 Low* ,110
Debow,""
Outdoor,""
Fountain 1* ,29
De Burgos,""
Outdoor,""
"",Fountain 1 High ,0.3
"",Fountain 1 Middle ,0.311
"",Fountain 1 Low ,0.31
DeJulio,"",""
Outdoor,"",""
"",Fountain 1 High* ,24.1
"",Fountain 1 Low* ,30.7
D'Elia,"",""
Outdoor,"",""
"",Fountain 1 High* ,33
"",Fountain 1 Low* ,33
Dickinson,"",""
Outdoor ,"",""
"",Fountain 1 High ,0.231 J
"",Fountain 1 Middle ,0.211 J
"",Fountain 1 Low ,0.227 J
Dixon,"",""
Outdoor,"",""
"",Fountain 1 High ,12.1
"",Fountain 1 Low ,12
Dogwood,"",""
Outdoor,"",""
"",Fountain 1* ,17.8
Donahue,"",""
Outdoor,"",""
"",Fountain 1 High ,2
"",Fountain 1 Middle ,2.7
"",Fountain 1 Low ,<2.0 U
Don Nash Community Center,"",""
Indoor,"",""
"",1st Floor Between Room ,0.16 J
"",2nd Floor by Fitness Center ,<0.120 U
"",Pool Level Women's Washroom ,0.462 J
"",Pool Level Men's Washroom ,<0.120 U
"",Pool Deck ,0.198 J
Donovan,"",""
Indoor,"",""
"",Club Room ,3.01 J
Outdoor ,"",""
"",Fountain 1* ,16.4
Dougherty,"",""
Outdoor,"",""
"",Fountain 1 ,5.2
Douglas,"",""
Indoor,"",""
"",Main Lobby ,0.219 J
Outdoor,"",""
"",Fountain 1* ,21.7
"",Fountain 2 ,2.21 J
"",Fountain 4 High ,0.572 J
"",Fountain 4 Low ,0.128 J
"",Fountain 5 ,2.49 J
"",Fountain 6 ,1.04 J
"",Fountain 7 High ,7.1
"",Fountain 7 Low ,6.67
"",Fountain 8 ,3.39 J
"",Fountain 9* ,16.6
"",Fountain 10 High ,9.22
"",Fountain 10 Middle ,9.96
"",Fountain 10 Low ,9.09
Drexel,"",""
Outdoor,"",""
"",Fountain 1* ,70
Dubkin,"",""
Outdoor,"",""
"",Fountain 1 High ,˂2.0 U
"",Fountain 1 Low ,˂2.0 U
Dunbar,"",""
Outdoor ,"",""
"",Fountain 1* ,130
"",Fountain 2 ,˂2.0 U
"",Fountain 3* ,26
"",Fountain 4 High ,˂2.0 U
"",Fountain 4 Middle ,˂2.0 U
"",Fountain 4 Low ,˂2.0 U
"",Fountain 5 High ,˂2.0 U
"",Fountain 5 Middle ,˂2.0 U
"",Fountain 5 Low ,˂2.0 U
Dunham,"",""
Indoor,"",""
"",Main Hall South ,0.486 J
"",Women's Locker Room ,10
"",Men's Locker Room ,3.89 J
"",Kitchen Sink ,<2.0 U
"",Outdoor,""
"",Fountain 1* ,30.5
"",Fountain 2* ,21.9
"",Fountain 3 High ,7.66
"",Fountain 3 Middle ,5.78
"",Fountain 3 Low ,6.06
Durkin,"",""
"",Outdoor,""
"",Fountain 2 ,2.72 J
"",Fountain 3 High ,˂0.120 U
"",Fountain 3 Low ,˂0.120 U
Dvorak,"",""
"",Indoor ,""
"",Main Lobby - High ,0.922  J
"",Main Lobby - Low ,1.44  J
"",Kitchen Sink ,<2.0 U
"",Outdoor ,""
"",Fountain 1* ,17
"",Fountain 2 High ,7.4
"",Fountain 2 Middle ,4.8
"",Fountain 2 Low ,3.8
"",Fountain 3 High* ,17
"",Fountain 3 Low* ,20
"",Fountain 4 High ,<2.0 U
"",Fountain 4 Low ,<2.0 U
"",Fountain 5 High ,<2.0 U
"",Fountain 5 Low ,<2.0 U
Eckersall,"",""
"",Outdoor,""
"",Fountain 1 High ,14
"",Fountain 1 Low ,13
Eckhart,"",""
"",Indoor,""
"",Lobby ,0.396 J
"",Pool Deck ,0.691 J
"",Men's Locker Room ,4.01 J
"",Kitchen Sink ,<2.0 U
"",Outdoor,""
"",Fountain 1 High ,14.1
"",Fountain 1 Low ,14.6
"",Fountain 2 High ,5.6
"",Fountain 2 Middle ,5.91
"",Fountain 2 Low ,6.8
Edgebrook,"",""
Outdoor,"",""
"",Fountain 1 High ,0.793 J
"",Fountain 1 Low ,0.689 J
Edison,"",""
Indoor,"",""
"",Main Lobby ,12.2
Edmonds,"",""
Outdoor,"",""
"",Fountain 1 High ,12.5
"",Fountain 1 Low ,14.1
Ellis,"",""
Indoor ,"",""
"",Outside Gym ,<2.0 U
"",Fitness Center ,<2.0 U
"",Pool Deck ,<2.0 U
"",1st Floor Kitchen ,<2.0 U
"",2nd Floor Kitchen ,<2.0 U
Outdoor ,"",""
"",Fountain 1* ,16
"",Fountain 2* ,92
Elm,"",""
Outdoor,"",""
"",Fountain 1 ,5.3
Emerald,"",""
Outdoor,"",""
"",Fountain 1* ,30.2
Emmerson,"",""
Indoor,"",""
"",Main Lobby ,1.61  J
Outdoor ,"",""
"",Fountain 1* ,102
Erhler,"",""
Outdoor,"",""
"",Fountain 1 ,2.5
Essex,"",""
"",Outdoor,""
"",Fountain 1 High ,5.6
"",Fountain 1 Middle ,5.8
"",Fountain 1 Low ,5.9
Euclid,"",""
"",Indoor,""
"",Main Lobby ,0.871 J
"",Outdoor ,""
"",Fountain 1 ,12.5
"",Fountain 2 High ,0.76 J
"",Fountain 2 Low ,0.77 J
"",Fountain 3 High ,13.2
"",Fountain 3 Low ,11.2
Eugene Field,"",""
"",Indoor,""
