park_name,score,num_fixtures,geo_park
Welles,0,15,WELLES (GIDEON)
Bronco Billy,0,2,BRONCHO BILLY
Dougherty,0,1,DOUGHERTY (DANIEL)
Ridge,0.125,8,RIDGE
Luella,0.666666666666667,3,LUELLA
Hurley,0,3,HURLEY (TIMOTHY)
Gately,0.5,2,GATELY (JAMES)
Beverly,0.166666666666667,6,BEVERLY
Graver,0,3,GRAVER (PHILIP)
Trumbull,0,10,TRUMBULL (LYMAN)
Fernwood,0.25,4,FERNWOOD
Barnard,0.333333333333333,3,BARNARD (ERASTUS)
Krause,0,3,KRAUSE (FRANCIS VERNON)
De Burgos,0,3,DE BURGOS (JULIA)
Railroad Junction,1,1,RAILROAD JUNCTION
Warren,0.8,10,WARREN (LAURENCE)
Jesse White Comm Ctr,0,4,PARK NO. 560
King-Lockhart,0,2,KING (PATRICK)-LOCKHART (ANTHONY)
Rainbow Beach,0.111111111111111,9,RAINBOW BEACH
Rosedale,0,5,ROSEDALE
LaVillita,0,8,PARK NO. 553
Shabonna,0.153846153846154,13,SHABBONA
McFetridge,0,4,CALIFORNIA
California,0.166666666666667,6,CALIFORNIA
LaFollette,0,11,LA FOLLETTE (ROBERT)
Senka,0,11,"SENKA (EDWARD ""DUKE"")"
Don Nash Community Center,0,5,NASH (DON) COMM. CTR.
Bartelme,0,5,BARTELME (MARY)
Harding (Frederick),0,1,HARDING (FREDERICK)
Park 568,0,2,PARK NO. 568
Bauler,1,1,BAULER (MATHIAS)
Erhler,0,1,ERHLER (WILLIAM)
Privet,1,1,PRIVET
Flower,0,3,FLOWER (LUCY)
Churchill,0,6,CHURCHILL FIELD
Walsh,0,11,WALSH (JOHN)
Amundsen,0.5,4,AMUNDSEN (ROALD)
Monticello,0,1,MONTICELLO
Clybourn,1,2,CLYBOURN (ARCHIBALD)
Greenbaum,0,5,GREENBAUM (HENRY)
Galewood,0,3,GALEWOOD
Maplewood,1,3,MAPLEWOOD
Simons,0.666666666666667,3,SIMONS (ALMIRA)
Wicker,0.142857142857143,7,"WICKER (CHARLES, JOEL)"
Park 399,0,2,PARK NO. 399
Dean,0,3,DEAN (JOHN)
Pulaski,0,10,PULASKI (CASIMER)
Stanton,0,5,STANTON (EDWIN)
Goudy,0,3,GOUDY (WILLIAM) SQUARE
Linden,0,1,LINDEN
Davis (M.),0,1,DAVIS (MARGARET)
Grand Playlot,1,1,GRAND
Washington Square,0,2,WASHINGTON SQUARE
Augusta,0,4,AUGUSTA (CARPENTER)
Western,0,2,WESTERN
Eckhart,0,9,ECKHART (BERNARD)
Lake Shore,0,7,LAKE SHORE
Seneca,0,2,SENECA
Commercial Club,0,5,COMMERCIAL CLUB PGD. of CHICAGO
Kells,1,1,KELLS (GEORGE)
Superior,0.5,2,SUPERIOR
Central Playlot,0,2,CENTRAL
West Chatham,0,4,WEST CHATHAM
Ohio and Harding,1,2,OHIO & HARDING
Ohio,0,3,OHIO
Snapping Turtle,0,1,SNAPPING TURTLE
Austin Town Hall,0,9,AUSTIN TOWN HALL
