School Short Name,Facility ID,Sample ID #,Sample Location,Sample Collection Time & Date,,Test Result (ppb),Test Results
Young HS-Building A,51568,51568-3-HAL-F05-03,North West End of Hall left,8:15AM,1,BA
Young HS-Building A,51568,51568-3-HAL-F05-04,North West End of Hall left,8:15AM,0.79,BA
Young HS-Building A,51568,51568-3-HAL-F05-05,North West End of Hall left,8:15AM,0.6,BA
Young HS-Building A,51568,51568-3-HAL-F06-01,North West End of Hall Right Fount,8:20AM,2.3,BA
Young HS-Building A,51568,51568-3-HAL-F06-02,North West End of Hall Right Fount,8:20AM,1,BA
Young HS-Building A,51568,51568-3-HAL-F06-03,North West End of Hall Right Fount,8:20AM,0.78,BA
Young HS-Building A,51568,51568-3-HAL-F06-04,North West End of Hall Right Fount,8:20AM,0.68,BA
Young HS-Building A,51568,51568-3-HAL-F06-05,North West End of Hall Right Fount,8:20AM,0.66,BA
Young HS-Building A,51568,51568-3-HAL-F07-01,Northeast End of Hall Left,8:15AM,2.1,BA
Young HS-Building A,51568,51568-3-HAL-F07-02,Northeast End of Hall Left,8:15AM,2.5,BA
Young HS-Building A,51568,51568-3-HAL-F07-03,Northeast End of Hall Left,8:15AM,2.7,BA
Young HS-Building A,51568,51568-3-HAL-F07-04,Northeast End of Hall Left,8:15AM,2.4,BA
Young HS-Building A,51568,51568-3-HAL-F07-05,Northeast End of Hall Left,8:15AM,1.8,BA
Young HS-Building A,51568,51568-3-HAL-F08-01,Northeast End of Hall Right,8:20AM,1.8,BA
Young HS-Building A,51568,51568-3-HAL-F08-02,Northeast End of Hall Right,8:20AM,1.5,BA
Young HS-Building A,51568,51568-3-HAL-F08-03,Northeast End of Hall Right,8:20AM,1.5,BA
Young HS-Building A,51568,51568-3-HAL-F08-04,Northeast End of Hall Right,8:20AM,1.5,BA
Young HS-Building A,51568,51568-3-HAL-F08-05,Northeast End of Hall Right,8:20AM,1.4,BA
Young HS Building B,52376,52376-1-POL-F01-01,East Side pool area,7:05AM,1.4,BA
Young HS Building B,52376,52376-1-POL-F01-02,East Side pool area,7:05AM,0.72,BA
Young HS Building B,52376,52376-1-POL-F01-03,East Side pool area,7:05AM,0.68,BA
Young HS Building B,52376,52376-1-POL-F01-04,East Side pool area,7:05AM,0.61,BA
Young HS Building B,52376,52376-1-POL-F01-05,East Side pool area,7:05AM,0.57,BA
Young HS Building B,52376,52376-1-POL-F02-01,West End of Pool,7:10AM,0.21,BA
Young HS Building B,52376,52376-1-POL-F02-02,West End of Pool,7:10AM,0.23,BA
Young HS Building B,52376,52376-1-POL-F02-03,West End of Pool,7:10AM,0.22,BA
Young HS Building B,52376,52376-1-POL-F02-04,West End of Pool,7:10AM,0.22,BA
Young HS Building B,52376,52376-1-POL-F02-05,West End of Pool,7:10AM,0.21,BA
Young HS Building B,52376,52376-1-HAL-F03-01,Gym Hall 3rd Fountain,7:15AM,0.74,BA
Young HS Building B,52376,52376-1-HAL-F03-02,Gym Hall 3rd Fountain,7:15AM,0.47,BA
Young HS Building B,52376,52376-1-HAL-F03-03,Gym Hall 3rd Fountain,7:15AM,0.42,BA
Young HS Building B,52376,52376-1-HAL-F03-04,Gym Hall 3rd Fountain,7:15AM,0.39,BA
Young HS Building B,52376,52376-1-HAL-F03-05,Gym Hall 3rd Fountain,7:15AM,0.51,BA
Young HS Building B,52376,52376-1-HAL-F04-01,Gym Hall 4th Fountain,7:20AM,0.34,BA
Young HS Building B,52376,52376-1-HAL-F04-02,Gym Hall 4th Fountain,7:20AM,0.25,BA
Young HS Building B,52376,52376-1-HAL-F04-03,Gym Hall 4th Fountain,7:20AM,0.23,BA
Young HS Building B,52376,52376-1-HAL-F04-04,Gym Hall 4th Fountain,7:20AM,0.27,BA
Young HS Building B,52376,52376-1-HAL-F04-05,Gym Hall 4th Fountain,7:20AM,0.17,BA
Young HS Building B,52376,52376-1-HAL-F05-01,Gym Hall 5th Fountain,7:25AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-F05-02,Gym Hall 5th Fountain,7:25AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-F05-03,Gym Hall 5th Fountain,7:25AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-F05-04,Gym Hall 5th Fountain,7:25AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-F05-05,Gym Hall 5th Fountain,7:25AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-F06-01,Gym Hall 6th Fountain,7:25AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-F06-02,Gym Hall 6th Fountain,7:25AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-F06-03,Gym Hall 6th Fountain,7:25AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-F06-04,Gym Hall 6th Fountain,7:25AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-F06-05,Gym Hall 6th Fountain,7:25AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-WC01-01,Gym Hall Left Water Cooler,7:30AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-WC01-02,Gym Hall Left Water Cooler,7:30AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-WC01-03,Gym Hall Left Water Cooler,7:30AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-WC01-04,Gym Hall Left Water Cooler,7:30AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-WC01-05,Gym Hall Left Water Cooler,7:30AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-WC02-01,Gym Hall Right Water Cooler,7:35AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-WC02-02,Gym Hall Right Water Cooler,7:35AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-WC02-03,Gym Hall Right Water Cooler,7:35AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-WC02-04,Gym Hall Right Water Cooler,7:35AM,<0.50,BA
Young HS Building B,52376,52376-1-HAL-WC02-05,Gym Hall Right Water Cooler,7:35AM,<0.50,BA
Young HS Building B,52376,52376-1-CGYM-F01-01,C Gym South Entrance,7:40AM,2.5,BA
Young HS Building B,52376,52376-1-CGYM-F01-02,C Gym South Entrance,7:40AM,1.8,BA
Young HS Building B,52376,52376-1-CGYM-F01-03,C Gym South Entrance,7:40AM,1.7,BA
Young HS Building B,52376,52376-1-CGYM-F01-04,C Gym South Entrance,7:40AM,1.6,BA
Young HS Building B,52376,52376-1-CGYM-F01-05,C Gym South Entrance,7:40AM,1.7,BA
Young HS Building B,52376,52376-1-CGYM-F02-01,C Gym North Entrance,7:45AM,1.6,BA
